지역,분류,카테고리별 순위,상호명,적용키워드,검색량,대표이미지URL,상호명(영어),
천호,카페/베이커리,카페/베이커리 3위,썸머러너,천호썸머러너,290,https://pup-post-phinf.pstatic.net/MjAyNTA5MjZfNjkg/MDAxNzU4ODE0OTIzMjEx.k7xRteZKdDxZ7FukvVMK-upVOooSeA_grnWkz-XsddYg.2o1fLNvrUncka6Zsynd4DK06rZLQjMQ2XjJRhOaSz1og.JPEG/DA1AD3A8-248C-4701-B042-9EAC6170BDCF.jpg,Summer Runner,"썸머러너': 'Summer Runner',"
천호,카페/베이커리,카페/베이커리 4위,오뜨르베이커리,천호오뜨르베이커리,270,https://d12zq4w4guyljn.cloudfront.net/750_750_20230823041254_photo1_fe6807e17bbb.webp,Autre Bakery,"오뜨르베이커리': 'Autre Bakery',"
천호,카페/베이커리,카페/베이커리 5위,천호블랑제리,천호블랑제리,190,https://i.pinimg.com/736x/53/9e/a1/539ea1aed82de65c58b026ceedb7939c.jpg,Cheonho Boulangerie,"천호블랑제리': 'Cheonho Boulangerie',"
천호,카페/베이커리,카페/베이커리 6위,아이스베리 천호점,천호아이스베리,150,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220127_166%2F1643253682677P1q4o_JPEG%2F3559397E-EF96-47E1-A4DD-FC92BBD0B9CA.jpeg,Iceberry Cheonho,"아이스베리 천호점': 'Iceberry Cheonho',"
천호,카페/베이커리,카페/베이커리 7위,설빙 천호로데오점,천호설빙,90,https://d2uja84sd90jmv.cloudfront.net/posts/EEe-_vB0OBbA9FE8FQ2WGg/ms.jpg,Sulbing Cheonho Rodeo,"설빙 천호로데오점': 'Sulbing Cheonho Rodeo',"
천호,카페/베이커리,카페/베이커리 8위,베스킨라빈스 풍납점,천호베스킨라빈스,60,https://ldb-phinf.pstatic.net/20260105_22/1767572563167K78eP_JPEG/IMG_7523.jpeg,Baskin Robbins Pungnap,"베스킨라빈스 풍납점': 'Baskin Robbins Pungnap',"
천호,카페/베이커리,카페/베이커리 9위,브랜뉴하이몬드,천호브랜뉴하이몬드,50,https://d12zq4w4guyljn.cloudfront.net/20250619071056_photo1_f7b7bc9f7ef0.webp,Brand New Hi-Mond,"브랜뉴하이몬드': 'Brand New Hi-Mond',"
천호,카페/베이커리,카페/베이커리 10위,카페알마,천호알마,40,https://img.siksinhot.com/place/1527407041684194.jpg,Cafe Alma,"카페알마': 'Cafe Alma',"
강남,쇼핑/문화,쇼핑/문화 1위,교보문고 강남점,강남교보문고,8380,https://mdpqzcwamhzxybldvctr.supabase.co/storage/v1/object/public/popup-photos/kyobo_g.jpg,Kyobo Book Centre Gangnam,"교보문고 강남점': 'Kyobo Book Centre Gangnam',"
강남,쇼핑/문화,쇼핑/문화 2위,뉴뉴 강남점 (NYUNYU),강남뉴뉴,4060,"https://media.triple.guide/triple-cms/c_limit,f_auto,h_1024,w_1024/df107119-f640-49c6-9132-6585fb61e005.jpeg",NYUNYU Gangnam,"뉴뉴 강남점 (NYUNYU)': 'NYUNYU Gangnam',"
강남,쇼핑/문화,쇼핑/문화 3위,나이키 강남점,강남나이키,2540,https://ldb-phinf.pstatic.net/20240522_108/1716357992048Qvixv_PNG/20240522_150517.png,Nike Gangnam,"나이키 강남점': 'Nike Gangnam',"
강남,쇼핑/문화,쇼핑/문화 4위,키이스케이프 우주라이크,강남키이스케이프,2510,https://pup-post-phinf.pstatic.net/MjAyNTEyMDFfMTUz/MDAxNzY0NTY2NTU3NTIz.a6b-rtPo8FppuI48ZLPkggUlmbKwxE7Pj-Ng36AVyicg.Kufwcfqt2kKiq6LMcqIB0dO9Wlrsi1x9wVIg5f3JYH8g.JPEG/POST_IMAGE_ENCODING_20251201_142229_360.jpg,Keyescape WouldULike,"키이스케이프 우주라이크': 'Keyescape WouldULike',"
강남,쇼핑/문화,쇼핑/문화 5위,무인양품 강남점,강남무인양품,810,http://imgnews.naver.net/image/5549/2020/06/29/0000002898_001_20200629103233206.jpg,MUJI Gangnam,"무인양품 강남점': 'MUJI Gangnam',"
강남,쇼핑/문화,쇼핑/문화 6위,스파오 강남점,강남스파오,560,http://imgnews.naver.net/image/5525/2024/10/25/0000373432_001_20241025180012088.jpg,SPAO Gangnam,"스파오 강남점': 'SPAO Gangnam',"
강남,쇼핑/문화,쇼핑/문화 7위,에잇세컨즈 강남대로점,강남에잇세컨즈,430,http://imgnews.naver.net/image/008/2012/09/21/2012092116040756602_2_59_20120921161705.jpg,8 Seconds Gangnam-daero,"에잇세컨즈 강남대로점': '8 Seconds Gangnam-daero',"
강남,쇼핑/문화,쇼핑/문화 8위,우주가챠 강남점,강남우주가챠,350,https://ldb-phinf.pstatic.net/20260220_294/1771579302136fL3IU_JPEG/47369.jpg,Uju Gacha Gangnam,"우주가챠 강남점': 'Uju Gacha Gangnam',"
강남,쇼핑/문화,쇼핑/문화 9위,지오다노 강남점,강남지오다노,190,https://mdpqzcwamhzxybldvctr.supabase.co/storage/v1/object/public/popup-photos/giodano_g.jpg,Giordano Gangnam,"지오다노 강남점': 'Giordano Gangnam',"
강남,쇼핑/문화,쇼핑/문화 10위,ZARA Gangnam Station,강남ZARA,80,https://ldb-phinf.pstatic.net/20210528_67/1622189340307jw6yH_JPEG/lfnGuMqE9BjNoC_lVif2x_4R.jpg,ZARA Gangnam Station,"ZARA Gangnam Station': 'ZARA Gangnam Station',"
강남,식당/맛집,식당/맛집 1위,강남진해장,강남진해장,4070,https://d2uja84sd90jmv.cloudfront.net/posts/VoSGJP4GfBrMct7Bwnr6cQ/m.jpg,Gangnam Jinhaejang,"강남진해장': 'Gangnam Jinhaejang',"
강남,식당/맛집,식당/맛집 2위,하이디라오 서초지점,강남하이디라오,3450,https://i.pinimg.com/originals/0b/ac/de/0bacde7560cdc1ec51cab3c6905e5689.jpg,Haidilao Seocho,"하이디라오 서초지점': 'Haidilao Seocho',"
강남,식당/맛집,식당/맛집 3위,강남떡도리탕,강남떡도리탕,2840,http://img.ezmember.co.kr/cache/board/2014/05/17/c3da6a4944fee6c3716cb8522f9bf7e5.jpg,Gangnam Tteokdoritang,"강남떡도리탕': 'Gangnam Tteokdoritang',"
강남,식당/맛집,식당/맛집 4위,알부자 강남본점,강남알부자,1300,https://pup-post-phinf.pstatic.net/MjAyNjAxMTVfMTYz/MDAxNzY4NDQ2OTY3NTEx.jYZ2bFDYz1jiOfMzWWC5qS71Mzw8tKEpPijRrhi93d0g.lIHDqhN2epkwrqXwdun1s-y5nxcAsn2VYeoVfAwZjx8g.JPEG/9FD872AE-BA4B-4FA6-A67D-DA171702119E.jpg,Albuja Gangnam Main Store,"알부자 강남본점': 'Albuja Gangnam Main Store',"
강남,식당/맛집,식당/맛집 5위,땀땀,강남땀땀,1060,https://mdpqzcwamhzxybldvctr.supabase.co/storage/v1/object/public/popup-photos/ddamddam_g.jpg,TamTam,"땀땀': 'TamTam',"
강남,식당/맛집,식당/맛집 6위,강남쿄코코,강남쿄코코,940,https://d12zq4w4guyljn.cloudfront.net/20260118123902_photo1_6ea1c47d50fc.webp,Gangnam Kyokoko,"강남쿄코코': 'Gangnam Kyokoko',"
강남,식당/맛집,식당/맛집 7위,다몽집 | damongzip,강남다몽집,770,https://img.siksinhot.com/place/1712030464248575.jpg,Damongzip,"다몽집 | damongzip': 'Damongzip',"
강남,식당/맛집,식당/맛집 8위,강남소보키,강남소보키,600,https://ldb-phinf.pstatic.net/20230324_205/16796180258639AetM_JPEG/IMG_2836.JPG,Gangnam Soboki,"강남소보키': 'Gangnam Soboki',"
강남,식당/맛집,식당/맛집 9위,강남고메램,강남고메램,560,https://img.siksinhot.com/place/1676253407148473.jpg,Gangnam Gourmet Lamb,"강남고메램': 'Gangnam Gourmet Lamb',"
강남,식당/맛집,식당/맛집 10위,강남화기애애,강남화기애애,510,https://image-logo.alba.kr/%2Fdata_image2%2Fcomlogo%2F202206%2F2022061414145734883_0_m.jpg,Gangnam Hwagiaeae,"강남화기애애': 'Gangnam Hwagiaeae',"
강남,카페/베이커리,카페/베이커리 1위,트리오드,강남트리오드,880,https://image.board.sbs.co.kr/2023/06/06/5XV1686061675870-600.jpg,Triode,"트리오드': 'Triode',"
강남,카페/베이커리,카페/베이커리 2위,알베르 강남,강남알베르,860,https://images.mypetlife.co.kr/map/content/uploads/2019/05/06230629/alver-5-1024x768.jpg,Alver Gangnam,"알베르 강남': 'Alver Gangnam',"
강남,카페/베이커리,카페/베이커리 3위,퍼스트커피랩,강남퍼스트커피랩,720,https://ldb-phinf.pstatic.net/20241124_198/1732450525109SrEKr_JPEG/KakaoTalk_20241014_124226074_01.jpg,First Coffee Lab,"퍼스트커피랩': 'First Coffee Lab',"
강남,카페/베이커리,카페/베이커리 4위,썸띵어바웃커피,강남썸띵어바웃커피,480,https://pup-post-phinf.pstatic.net/MjAyNjAxMDZfMTMw/MDAxNzY3Njc2ODM2MTY4.AuY6jPNcqWTYIZp8bA4Zb6AcqK5K9A8CyY4cKbx_hFsg.uua7d5g53R3Bn5N3m5hsGHapBTyJ70g5WjafQ3O3od0g.JPEG/POST_IMAGE_ENCODING_20260106_142034_143.jpg,Something About Coffee,"썸띵어바웃커피': 'Something About Coffee',"
강남,카페/베이커리,카페/베이커리 5위,강남호랑가시,강남호랑가시,470,https://pup-post-phinf.pstatic.net/MjAyNTExMjNfODAg/MDAxNzYzODc0NzU0OTky.koQKA1FvqVjYPMxv-owYjGZID3pdaTWFRIvMrSW3z-Eg.SsRr_2zwDXOPIaIicsSIKyY88p39ollx1FFy3SrmIMAg.JPEG/POST_IMAGE_ENCODING_20251123_141231_606.jpg,Gangnam Horanggasi,"강남호랑가시': 'Gangnam Horanggasi',"
강남,카페/베이커리,카페/베이커리 6위,강남한과와락,강남한과와락,450,https://mdpqzcwamhzxybldvctr.supabase.co/storage/v1/object/public/popup-photos/hangwa_g.jpg,Gangnam Hangwa Warak,"강남한과와락': 'Gangnam Hangwa Warak',"
강남,카페/베이커리,카페/베이커리 7위,힉스커피(HIGGS COFFEE),강남힉스커피,390,https://pup-post-phinf.pstatic.net/MjAyNjAyMDJfMjAz/MDAxNzcwMDAyNDk1MDIw.wwze2iWUL3XqkS0sSAdHLXr6IC9_BCpUlquDO-9qgy4g.vvT98ulOvnhElwDy-72yoqNSn8em99KNEhYwUqNcfkIg.JPEG/POST_IMAGE_ENCODING_20260202_122134_680.jpg,HIGGS COFFEE,"힉스커피(HIGGS COFFEE)': 'HIGGS COFFEE',"
강남,카페/베이커리,카페/베이커리 8위,까치화방 카페 강남점 CACHI CAFE GANGNAM 江南?カフェ 江南站???,강남까치화방,330,https://www.diningcode.com/_next/image?url=https%3A%2F%2Fd12zq4w4guyljn.cloudfront.net%2F750_750_20231106043239182_photo_b2183f72f9fb.jpg&w=1080&q=75,Cachi Cafe Gangnam,"까치화방 카페 강남점 CACHI CAFE GANGNAM 江南?カフェ 江南站???': 'Cachi Cafe Gangnam',"
강남,카페/베이커리,카페/베이커리 9위,라브리크,강남라브리크,320,https://mdpqzcwamhzxybldvctr.supabase.co/storage/v1/object/public/popup-photos/labric_g.jpg,Labrique,"라브리크': 'Labrique',"
잠실,카페/베이커리,카페/베이커리 10위,커피빈 강남대로점,강남커피빈,310,https://ldb-phinf.pstatic.net/20201124_155/1606211204461JGr1V_JPEG/eaDqyEvHjIa5MQWRXT0e71KZ.jpg,The Coffee Bean & Tea Leaf Gangnam-daero,"커피빈 강남대로점': 'The Coffee Bean & Tea Leaf Gangnam-daero',"
잠실,쇼핑/문화,쇼핑/문화 1위,롯데월드몰,잠실롯데월드몰,82540,http://imgnews.naver.net/image/052/2017/04/03/201704030821541684_img_7_20170409130305442.jpg,Lotte World Mall,"롯데월드몰': 'Lotte World Mall',"
잠실,쇼핑/문화,쇼핑/문화 2위,롯데월드,잠실롯데월드,10460,https://i.namu.wiki/i/9J-Iun6q6EqQ1ertADkKJWgWCzwLzh0mrFsy8inLtRMEBBJZxVMp8DLZckO8zooJjN9J-0u0v-yIV_sgh9XTkg.webp,Lotte World,"롯데월드': 'Lotte World',"
잠실,쇼핑/문화,쇼핑/문화 3위,석촌호수,잠실석촌호수,3340,http://imgnews.naver.net/image/001/2016/04/04/AKR20160404037100004_01_i_99_20160404092311.jpg,Seokchon Lake,"석촌호수': 'Seokchon Lake',"
잠실,쇼핑/문화,쇼핑/문화 4위,자라 롯데월드몰점,잠실자라,2800,http://imgnews.naver.net/image/5575/2022/05/20/0000287314_002_20220520113202675.jpg,ZARA Lotte World Mall,"자라 롯데월드몰점': 'ZARA Lotte World Mall',"
잠실,쇼핑/문화,쇼핑/문화 5위,다이소 송파구청점,잠실다이소,2660,https://ldb-phinf.pstatic.net/20200713_164/1594596762653CDJwE_JPEG/i9nrSpcaDeGxZiZ-asMTn58v.jpg,Daiso Songpa District Office,"다이소 송파구청점': 'Daiso Songpa District Office',"
잠실,쇼핑/문화,쇼핑/문화 6위,진저베어,잠실진저베어,1400,https://d2u3dcdbebyaiu.cloudfront.net/uploads/atch_img/483/074eb037aac493d5ba48f7d6108d92f2_res.jpeg,Ginger Bear,"진저베어': 'Ginger Bear',"
잠실,쇼핑/문화,쇼핑/문화 7위,롯데뮤지엄,잠실롯데뮤지엄,1210,http://imgnews.naver.net/image/5410/2018/01/26/0000030260_001_20180126103202590.jpg,Lotte Museum,"롯데뮤지엄': 'Lotte Museum',"
잠실,쇼핑/문화,쇼핑/문화 8위,롯데월드타워,잠실롯데월드타워,850,https://i.namu.wiki/i/HTkbaMREQftJmuuTL7ifsqalgP7LrmBcEL-MYnlyocJnukrfUYvUUkiQR6wFichA6Mca1KwYuIEVYeEYNNQNjg.webp,Lotte World Tower,"롯데월드타워': 'Lotte World Tower',"
잠실,쇼핑/문화,쇼핑/문화 9위,도토리숲 (지브리샵),잠실도토리숲,350,https://ak-d.tripcdn.com/images/1i61h1200092gvdr1CADD_W_670_10000.jpg?proc=source/trip,Ghibli Shop Dotori Forest,"도토리숲 (지브리샵)': 'Ghibli Shop Dotori Forest',"
잠실,쇼핑/문화,쇼핑/문화 10위,COS,잠실COS,230,http://fpost.co.kr/board/data/editor/2309/678719dbb0226eaf000e055c46c1d504_1695342477_6972.jpg,COS,"COS': 'COS',"
잠실,식당/맛집,식당/맛집 1위,바이킹스워프 VIKING'S WHARF 잠실 헤리티지점 Jamsil Heritage,잠실바이킹스워프,3450,http://c2.poing.co.kr/PIMAGE-original/MjAxNjEx/147969543358325c49800a6.jpeg,VIKING'S WHARF Jamsil Heritage,"바이킹스워프 VIKING'S WHARF 잠실 헤리티지점 Jamsil Heritage': 'VIKING'S WHARF Jamsil Heritage',"
잠실,식당/맛집,식당/맛집 2위,애슐리퀸즈 잠실롯데캐슬점,잠실애슐리퀸즈,2390,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_e59809eb-bdc9-44d7-9d8f-2e7f0e47ba91/uploads/ds_9674_1569822144czjqIwL.jpg,Ashley Queens Jamsil Lotte Castle,"애슐리퀸즈 잠실롯데캐슬점': 'Ashley Queens Jamsil Lotte Castle',"
